,Spectral Centroid,RMS,Tempo,MP3パス
音楽1,-0.543283622,-1.06443269,-0.948880706,music/音楽1.mp3
音楽2,-1.015050059,-0.476843708,-0.71537191,music/音楽2.mp3
音楽3,-0.375788968,-0.495365464,0.75597178,music/音楽3.mp3
音楽4,0.16303451,1.105069439,0.366065702,music/音楽4.mp3
音楽5,0.346951296,-0.347288386,0.222766887,music/音楽5.mp3
音楽6,0.365259755,0.60491737,-1.659662548,music/音楽6.mp3
音楽7,0.834806985,1.018375983,0.638926804,music/音楽7.mp3
音楽8,-0.514785304,-1.164589168,0.041250328,music/音楽8.mp3
音楽9,0.255945313,-0.55036506,0.723547158,music/音楽9.mp3
音楽10,-0.282656244,-0.726968229,-1.134481931,music/音楽10.mp3
音楽11,-1.560327731,-0.570793943,1.646079948,music/音楽11.mp3
音楽12,-0.444140546,1.170768339,0.366065702,music/音楽12.mp3
音楽13,-2.017040547,-2.05006165,0.156116276,music/音楽13.mp3
音楽14,-0.533741031,-0.629817899,-1.300675663,music/音楽14.mp3
音楽15,-0.640392425,0.479871271,-0.043835559,music/音楽15.mp3
音楽16,-0.892568322,-0.328863602,-0.776992287,music/音楽16.mp3
音楽17,2.448577383,1.163269129,-0.034746839,music/音楽17.mp3
音楽18,-0.834073722,-0.486540962,0.75597178,music/音楽18.mp3
音楽19,-1.759501566,-1.567057559,0.879019063,music/音楽19.mp3
音楽20,-1.85061851,-0.832765277,-1.089737464,music/音楽20.mp3
音楽21,0.864211479,0.159360844,0.527455398,music/音楽21.mp3
音楽22,1.367786551,1.228806408,-0.776992287,music/音楽22.mp3
音楽23,0.572589176,2.124024631,-0.651381519,music/音楽23.mp3
音楽24,0.533475651,-0.14697543,-0.843642898,music/音楽24.mp3
音楽25,2.338005391,-1.099358968,0.25853063,music/音楽25.mp3
音楽26,0.062837311,-0.831278364,-0.836371922,music/音楽26.mp3
音楽27,0.782378218,1.467795248,-0.368757291,music/音楽27.mp3
音楽28,1.904168901,-0.423153241,-0.71537191,music/音楽28.mp3
音楽29,1.096525473,-0.390570466,-0.896089281,music/音楽29.mp3
音楽30,0.242278696,1.090475071,0.25853063,music/音楽30.mp3
音楽31,1.37786545,0.626380627,-0.290584632,music/音楽31.mp3
音楽32,-0.824660585,-0.470298061,1.468300192,music/音楽32.mp3
音楽33,-0.534591727,-1.01025736,2.740109218,music/音楽33.mp3
音楽34,0.370974213,-0.583917561,1.468300192,music/音楽34.mp3
音楽35,1.651197788,-0.814970814,-0.893630857,music/音楽35.mp3
